cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,candidate_rank,candidate_url
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,3,https://investors.gf.com/investor-relations
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,4,https://investors.gf.com/governance
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,5,https://investors.gf.com/corporate-governance
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,6,https://gf.com
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,7,https://gf.com/investors
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,8,https://gf.com/investor-relations
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,9,https://gf.com/governance
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,10,https://gf.com/corporate-governance
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,11,https://xbrl.ifrs.org
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,12,https://xbrl.ifrs.org/investors
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,1,https://investors.elitebodysculpture.com/corporate-governance/governance
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,2,https://investors.elitebodysculpture.com/corporate-governance/governance/investors
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,3,https://investors.elitebodysculpture.com/corporate-governance/governance/investor-relations
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,4,https://investors.elitebodysculpture.com/corporate-governance/governance/governance
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,5,https://investors.elitebodysculpture.com/corporate-governance/governance/corporate-governance
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,6,https://investors.elitebodysculpture.com
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,7,https://investors.elitebodysculpture.com/investors
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,8,https://investors.elitebodysculpture.com/investor-relations
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,9,https://investors.elitebodysculpture.com/governance
