cik,ticker,legal_name,continuation_group,continuation_status,cluster,pc1,pc2,predicted_probability
1074871,MODD,"Modular Medical, Inc.",continued,continued_other_narrative,1,2.541473816938329,2.531568932232682,0.958505494140696
1914818,STBXF,Starbox Group Holdings Ltd.,continued,continued_same_matrix,0,-4.873595719782354,0.1967504109874173,0.4078733034096357
1889823,DFSC,DEFSEC Technologies Inc.,not_continued,not_continued_in_reviewed_filings,0,-5.154953170579178,-0.36984188543818514,0.23609234548823355
1828588,HNVR,"Hanover Bancorp, Inc. /MD",continued,continued_same_matrix,2,2.337661685388165,0.2893079725980161,0.744857258143748
1803407,OST,"Ostin Technology Group Co., Ltd.",not_continued,not_continued_in_reviewed_filings,0,-4.709554195336584,1.2407326161941736,0.5135163612109436
1743905,RVSN,Rail Vision Ltd.,not_continued,not_continued_in_reviewed_filings,0,-4.547852447502932,1.4222114422152758,0.32451145920944546
1922641,ENLT,Enlight Renewable Energy Ltd.,continued,continued_same_matrix,0,-4.903190711126227,-4.346969758067743,0.6379282620601388
1889109,BLTE,"BELITE BIO, INC",continued,continued_same_matrix,1,-0.29861133123656297,-1.402303308884739,0.8111991749156016
1811623,,"Kuvatris Therapeutics, Inc.",not_continued,no_post_vacatur_relevant_filing,1,2.665458493420589,1.4438011090986889,0.05146266071718922
1756701,LNKB,"LINKBANCORP, Inc.",continued,continued_other_narrative,2,2.2502544597406087,2.1907365154022767,0.930447117077201
1893311,,LUXURBAN HOTELS INC.,not_continued,not_continued_in_reviewed_filings,2,2.171432844867967,2.713118665751688,0.07613564404537532
1946216,,"SYLA Technologies Co., Ltd.",not_continued,not_continued_in_reviewed_filings,0,-5.038726526971391,1.2238327363862262,0.03194074173127251
1861737,HSAI,Hesai Group,continued,continued_same_matrix,0,-4.3378290183610915,-4.273350493928021,0.9041747617478744
1857816,GCT,GigaCloud Technology Inc,continued,continued_same_matrix,1,0.5560654944475629,-1.784404746770894,0.7392211900390289
1923840,,"Third Harmonic Bio, Inc.",continued,continued_other_narrative,1,2.8517728409516905,2.3712552933088795,0.44758686178070517
1809750,EDBL,Edible Garden AG Inc,not_continued,not_continued_in_reviewed_filings,1,2.200755285587907,2.4744687549119724,0.5437402120839513
1742341,HKIT,HiTek Global Inc.,not_continued,not_continued_in_reviewed_filings,0,-5.712641200216695,-0.3897635213495588,0.7439904566570595
1944902,OMH,Ohmyhome Ltd,continued,continued_same_matrix,0,-5.501719591474368,1.2164707843754599,0.5341492998084616
1894693,SVRE,SaverOne 2014 Ltd.,not_continued,not_continued_in_reviewed_filings,0,-4.634275613159794,0.43047960105382627,0.2488616797051384
1888012,,"HilleVax, Inc.",not_continued,not_continued_in_reviewed_filings,1,3.1727098244726486,2.9977978324548507,0.4038114694472786
1814963,ILAG,Intelligent Living Application Group Inc.,continued,continued_same_matrix,0,-4.631668167783236,1.0026561302920902,0.7154851206427242
1910139,MBLY,Mobileye Global Inc.,continued,continued_other_narrative,1,-0.0841427802308923,-5.378090685884751,0.923735678696335
1835597,PEPG,PepGen Inc.,continued,continued_same_matrix,1,2.9338032300139343,1.3075201941137755,0.9499224824691517
1894562,PRME,"Prime Medicine, Inc.",not_continued,not_continued_in_reviewed_filings,1,2.446313380284949,0.7768984571080776,0.6417121227610202
1425627,SOBR,"SOBR Safe, Inc.",continued,continued_other_narrative,1,2.103480859594805,0.04762325977891158,0.8795539800088432
1886894,SNAL,"Snail, Inc.",continued,continued_other_narrative,1,1.7609669082409714,0.5967063743283152,0.9617818098425953
1935172,AIXI,Xiao-I Corp,continued,continued_same_matrix,0,-5.310866362975659,-0.8934033276931924,0.6890216070215992
1781174,ACRV,"Acrivon Therapeutics, Inc.",continued,continued_same_matrix,1,2.4063058797116805,0.8690146970348234,0.6796739251489792
1825349,CHSN,Chanson International Holding,not_continued,not_continued_in_reviewed_filings,0,-5.677198085531263,0.5447136872060855,0.8180796534091244
1881487,ACDC,ProFrac Holding Corp.,continued,continued_other_narrative,1,2.421256851317654,-1.5085145822764576,0.9870807291224035
